episode,train_step,avg_loss,avg_td_error,avg_q_value,avg_batch_reward,batch_size,epsilon
7,194,1289.649292,33.208202,-88.9971,0.571515,32,0.985000
7,195,1238.397827,32.662743,-89.8092,0.571515,32,0.985000
7,196,1188.361938,32.111053,-90.6210,0.571515,32,0.985000
7,197,1139.822998,31.562130,-91.4386,0.571515,32,0.985000
7,198,1092.531372,31.007980,-92.2556,0.571515,32,0.985000
7,199,1046.745361,30.456964,-93.0790,0.571515,32,0.985000
7,200,1002.262878,29.899805,-93.9012,0.571515,32,0.985000
7,201,959.318237,29.344938,-94.7298,0.571515,32,0.985000
7,202,917.710388,28.784214,-95.5571,0.571515,32,0.985000
7,203,877.672852,28.226006,-96.3908,0.571515,32,0.985000
7,204,839.022949,27.662489,-97.2227,0.571515,32,0.985000
7,205,801.945679,27.100588,-98.0616,0.571515,32,0.985000
7,206,766.296814,26.533096,-98.8981,0.571515,32,0.985000
7,207,732.246582,25.967358,-99.7415,0.571515,32,0.985000
7,208,699.693420,25.396593,-100.5815,0.571515,32,0.985000
7,209,668.759338,24.827648,-101.4286,0.571515,32,0.985000
7,210,639.315063,24.252998,-102.2730,0.571515,32,0.985000
13,211,609.730530,23.643768,-103.1540,0.551400,32,0.983125
13,212,2671.197266,46.212360,-104.0079,0.551400,32,0.983125
13,213,2585.316162,45.592964,-104.8813,0.551400,32,0.983125
13,214,2500.785889,44.969845,-105.7551,0.551400,32,0.983125
13,215,2418.023682,44.349483,-106.6312,0.551400,32,0.983125
13,216,2336.553223,43.723873,-107.5092,0.551400,32,0.983125
13,217,2256.854736,43.100487,-108.3901,0.551400,32,0.983125
13,218,2178.439697,42.473156,-109.2735,0.551400,32,0.983125
13,219,2101.859375,41.850090,-110.1592,0.551400,32,0.983125
13,220,2026.597168,41.222576,-111.0474,0.551400,32,0.983125
13,221,1953.197388,40.598694,-111.9378,0.551400,32,0.983125
13,222,1881.140991,39.969189,-112.8311,0.551400,32,0.983125
13,223,1810.955566,39.342068,-113.7269,0.551400,32,0.983125
13,224,1742.172607,38.709766,-114.6256,0.551400,32,0.983125
13,225,1675.254761,38.079891,-115.5272,0.551400,32,0.983125
13,226,1609.794800,37.444221,-116.4314,0.551400,32,0.983125
13,227,1546.253662,36.811790,-117.3384,0.551400,32,0.983125
13,228,1484.139038,36.172836,-118.2488,0.551400,32,0.983125
13,229,1424.018677,35.537014,-119.1614,0.551400,32,0.983125
13,230,1365.349243,34.893898,-120.0780,0.551400,32,0.983125
13,231,1308.711060,34.253807,-120.9962,0.551400,32,0.983125
13,232,1253.614868,33.607048,-121.9180,0.551400,32,0.983125
13,233,1200.563965,32.963707,-122.8415,0.551400,32,0.983125
13,234,1149.038940,32.312630,-123.7699,0.551400,32,0.983125
13,235,1099.594604,31.664967,-124.6993,0.551400,32,0.983125
13,236,1051.807129,31.010509,-125.6323,0.551400,32,0.983125
13,237,1006.089539,30.359064,-126.5668,0.551400,32,0.983125
13,238,962.062988,29.700335,-127.5053,0.551400,32,0.983125
13,239,920.148560,29.044441,-128.4447,0.551400,32,0.983125
13,240,880.025940,28.381870,-129.3865,0.551400,32,0.983125
14,241,833.905396,27.589827,-130.5947,0.545728,32,0.981250
14,242,3319.869141,51.643238,-131.5432,0.545728,32,0.981250
14,243,3213.585938,50.946312,-132.5146,0.545728,32,0.981250
14,244,3108.647461,50.242992,-133.4896,0.545728,32,0.981250
14,245,3006.281250,49.545582,-134.4636,0.545728,32,0.981250
14,246,2904.994629,48.839016,-135.4435,0.545728,32,0.981250
14,247,2806.387695,48.139034,-136.4226,0.545728,32,0.981250
14,248,2708.975098,47.431171,-137.4075,0.545728,32,0.981250
14,249,2614.247314,46.731556,-138.3916,0.545728,32,0.981250
14,250,2520.772949,46.023273,-139.3819,0.545728,32,0.981250
14,251,2429.958740,45.322475,-140.3715,0.545728,32,0.981250
