Plane 4 | Job 1 | Site 4 | Start 152 | End 170.50940655980193
Plane 1 | Job -1 | Site 0 | Start 157 | End 179.12641744292188
Plane 3 | Job 0 | Site 12 | Start 157 | End 188.11018711428204
Plane 2 | Job -1 | Site 2 | Start 159 | End 199.02399040767233
Plane 5 | Job 0 | Site 6 | Start 159 | End 201.04512443414754
Plane 0 | Job 7 | Site 7 | Start 163 | End 167.5709920264365
Plane 0 | Job 1 | Site 14 | Start 167 | End 201.80846629681085
Plane 6 | Job 1 | Site 10 | Start 168 | End 202.59044529893674
Plane 4 | Job 0 | Site 5 | Start 170 | End 182.1189620100417
Plane 4 | Job -1 | Site 0 | Start 182 | End 202.62826420446913
Plane 3 | Job -1 | Site 8 | Start 188 | End 210.40846485267215
Plane 0 | Job 0 | Site 3 | Start 201 | End 216.70087712549568
Plane 5 | Job -1 | Site 16 | Start 201 | End 232.1624667749296
Plane 6 | Job 0 | Site 5 | Start 202 | End 236.59044529893674
Plane 0 | Job -1 | Site 8 | Start 216 | End 256.70260575260676
Plane 6 | Job -1 | Site 12 | Start 236 | End 264.30983342360054
---- End of episode ----
Plane 0 | Job 4 | Site 0 | Start 0 | End 44.85148772213166
Plane 1 | Job 4 | Site 15 | Start 0 | End 36.399563950724726
Plane 2 | Job 4 | Site 3 | Start 0 | End 40.156781834950394
Plane 3 | Job 4 | Site 2 | Start 0 | End 41.6547601177967
Plane 4 | Job 4 | Site 13 | Start 0 | End 22.373021376320203
Plane 5 | Job 4 | Site 5 | Start 0 | End 37.21377571349031
Plane 6 | Job 4 | Site 9 | Start 0 | End 12.440306508910549
Plane 7 | Job 4 | Site 1 | Start 0 | End 43.31888188225814
Plane 6 | Job 2 | Site 4 | Start 12 | End 47.75936827286493
Plane 4 | Job 2 | Site 17 | Start 22 | End 44.421023110634735
Plane 1 | Job 2 | Site 13 | Start 36 | End 58.31349134918703
Plane 5 | Job 2 | Site 9 | Start 37 | End 71.00803456153253
Plane 2 | Job 2 | Site 3 | Start 40 | End 46.0
Plane 3 | Job 2 | Site 2 | Start 41 | End 47.0
Plane 7 | Job 2 | Site 1 | Start 43 | End 49.0
Plane 0 | Job 2 | Site 17 | Start 44 | End 66.95228598154243
Plane 4 | Job 3 | Site 0 | Start 44 | End 75.95228598154243
Plane 2 | Job 3 | Site 16 | Start 46 | End 69.73670418407308
Plane 3 | Job 3 | Site 3 | Start 47 | End 64.1540659228538
Plane 6 | Job 3 | Site 10 | Start 47 | End 88.24880949681338
Plane 7 | Job 3 | Site 2 | Start 49 | End 66.06155281280883
Plane 1 | Job 3 | Site 8 | Start 58 | End 89.56411784551173
Plane 3 | Job 8 | Site 1 | Start 64 | End 72.20594816896262
Plane 0 | Job 3 | Site 4 | Start 66 | End 89.523496934944
Plane 7 | Job 8 | Site 2 | Start 66 | End 70.0
Plane 2 | Job 8 | Site 7 | Start 69 | End 96.44802763560295
Plane 7 | Job 6 | Site 5 | Start 70 | End 91.35688603012512
Plane 5 | Job 3 | Site 16 | Start 71 | End 112.1658173959844
Plane 3 | Job 6 | Site 2 | Start 72 | End 89.06155281280883
Plane 4 | Job 8 | Site 0 | Start 75 | End 79.0
Plane 4 | Job 6 | Site 14 | Start 79 | End 106.12641744292188
Plane 6 | Job 8 | Site 0 | Start 88 | End 125.39176545197932
Plane 0 | Job 8 | Site 15 | Start 89 | End 98.131276644267
Plane 1 | Job 8 | Site 13 | Start 89 | End 109.56411784551173
Plane 3 | Job 7 | Site 2 | Start 89 | End 91.0
Plane 3 | Job 1 | Site 3 | Start 91 | End 103.1540659228538
Plane 7 | Job 7 | Site 2 | Start 91 | End 99.35688603012512
Plane 2 | Job 6 | Site 6 | Start 96 | End 113.84253408071038
Plane 0 | Job 6 | Site 10 | Start 98 | End 136.34801918793113
Plane 7 | Job 1 | Site 1 | Start 99 | End 111.06155281280883
Plane 3 | Job 0 | Site 8 | Start 103 | End 143.70260575260673
Plane 4 | Job 7 | Site 4 | Start 106 | End 111.62491379207837
Plane 1 | Job 6 | Site 3 | Start 109 | End 142.2526710374126
Plane 4 | Job 1 | Site 4 | Start 111 | End 121.0
Plane 7 | Job 0 | Site 5 | Start 111 | End 129.41189633792524
Plane 5 | Job 8 | Site 1 | Start 112 | End 128.84133949399362
Plane 2 | Job 7 | Site 7 | Start 113 | End 117.84253408071038
Plane 2 | Job 1 | Site 16 | Start 117 | End 150.44802763560295
Plane 4 | Job 0 | Site 14 | Start 121 | End 134.62491379207836
Plane 6 | Job 6 | Site 0 | Start 125 | End 140.0
Plane 5 | Job 6 | Site 4 | Start 128 | End 149.29364759102384
Plane 7 | Job -1 | Site 12 | Start 129 | End 157.30983342360057
Plane 4 | Job -1 | Site 14 | Start 134 | End 144.0
Plane 0 | Job 7 | Site 13 | Start 136 | End 150.369316876853
Plane 6 | Job 7 | Site 15 | Start 140 | End 155.556548233234
Plane 1 | Job 7 | Site 7 | Start 142 | End 173.85431292125142
Plane 3 | Job -1 | Site 1 | Start 143 | End 187.53056616969957
Plane 5 | Job 7 | Site 0 | Start 149 | End 159.50940655980193
Plane 0 | Job 1 | Site 3 | Start 150 | End 178.25267103741257
Plane 2 | Job 0 | Site 8 | Start 150 | End 184.8278069913555
Plane 6 | Job 1 | Site 6 | Start 155 | End 186.9063917613102
Plane 5 | Job 1 | Site 5 | Start 159 | End 179.62826420446913
Plane 1 | Job 1 | Site 16 | Start 173 | End 206.44802763560295
Plane 0 | Job 0 | Site 0 | Start 178 | End 194.42572953056694
Plane 5 | Job 0 | Site 5 | Start 179 | End 189.0
Plane 2 | Job -1 | Site 4 | Start 184 | End 222.81961137836527
Plane 6 | Job 0 | Site 2 | Start 186 | End 226.02399040767233
Plane 5 | Job -1 | Site 3 | Start 189 | End 203.2059481689626
Plane 0 | Job -1 | Site 0 | Start 194 | End 204.0
Plane 1 | Job 0 | Site 1 | Start 206 | End 228.84133949399362
Plane 6 | Job -1 | Site 6 | Start 226 | End 266.02399040767233
Plane 1 | Job -1 | Site 0 | Start 228 | End 240.2360679774998
---- End of episode ----
Plane 0 | Job 4 | Site 11 | Start 0 | End 16.066271716414413
Plane 1 | Job 4 | Site 9 | Start 0 | End 12.440306508910549
Plane 2 | Job 4 | Site 5 | Start 0 | End 37.21377571349031
Plane 3 | Job 4 | Site 1 | Start 0 | End 43.31888188225814
Plane 4 | Job 4 | Site 2 | Start 0 | End 41.6547601177967
Plane 5 | Job 4 | Site 0 | Start 0 | End 44.85148772213166
Plane 6 | Job 4 | Site 17 | Start 0 | End 34.9959088373089
Plane 7 | Job 4 | Site 3 | Start 0 | End 40.156781834950394
Plane 1 | Job 2 | Site 9 | Start 12 | End 18.0
Plane 0 | Job 2 | Site 11 | Start 16 | End 22.0
Plane 1 | Job 3 | Site 14 | Start 18 | End 60.00592527576124
Plane 0 | Job 3 | Site 12 | Start 22 | End 41.12310562561766
Plane 6 | Job 2 | Site 11 | Start 34 | End 59.02445794234359
Plane 2 | Job 2 | Site 15 | Start 37 | End 46.11448230047949
Plane 7 | Job 2 | Site 3 | Start 40 | End 46.0
Plane 0 | Job 8 | Site 9 | Start 41 | End 57.20245876862528
Plane 4 | Job 2 | Site 7 | Start 41 | End 78.81571938523471
Plane 3 | Job 2 | Site 5 | Start 43 | End 57.411896337925235
Plane 5 | Job 2 | Site 0 | Start 44 | End 50.0
Plane 2 | Job 3 | Site 1 | Start 46 | End 72.32166065557522
Plane 7 | Job 3 | Site 12 | Start 46 | End 82.11018711428206
Plane 5 | Job 3 | Site 2 | Start 50 | End 69.27200187265876
Plane 0 | Job 6 | Site 8 | Start 57 | End 74.2561028345357
Plane 3 | Job 3 | Site 4 | Start 57 | End 74.11896201004171
Plane 6 | Job 3 | Site 0 | Start 59 | End 103.59408724728641
Plane 1 | Job 8 | Site 15 | Start 60 | End 65.64012194668567
Plane 1 | Job 6 | Site 16 | Start 65 | End 81.72046505340853
Plane 5 | Job 8 | Site 3 | Start 69 | End 75.1540659228538
Plane 2 | Job 8 | Site 9 | Start 72 | End 111.28526604689272
Plane 0 | Job 7 | Site 1 | Start 74 | End 110.53056616969957
Plane 3 | Job 8 | Site 15 | Start 74 | End 83.131276644267
Plane 5 | Job 6 | Site 5 | Start 75 | End 94.20594816896262
Plane 4 | Job 3 | Site 14 | Start 78 | End 117.80846629681085
Plane 1 | Job 7 | Site 11 | Start 81 | End 103.38357181653893
Plane 7 | Job 8 | Site 2 | Start 82 | End 108.61769218996491
Plane 3 | Job 6 | Site 10 | Start 83 | End 121.34801918793113
Plane 5 | Job 7 | Site 17 | Start 94 | End 102.46374504447692
Plane 5 | Job 1 | Site 5 | Start 102 | End 118.46374504447692
Plane 1 | Job 1 | Site 6 | Start 103 | End 122.94786409235671
Plane 6 | Job 8 | Site 4 | Start 103 | End 115.50940655980192
Plane 7 | Job 6 | Site 8 | Start 108 | End 155.58849490234246
Plane 0 | Job 1 | Site 0 | Start 110 | End 122.23606797749979
Plane 2 | Job 6 | Site 3 | Start 111 | End 157.5762569029326
Plane 6 | Job 6 | Site 2 | Start 115 | End 134.23792402008343
Plane 4 | Job 8 | Site 11 | Start 117 | End 141.4787694942836
