episode,epoch,episode_reward,episode_duration,wait_time,epsilon,original_episode
326,81,24.3347,50.0,10.6126,0.387212,526
327,81,31.8448,50.0,7.5334,0.385337,527
328,82,21.3806,50.0,10.7765,0.383463,533
329,82,28.7154,50.0,7.8596,0.381587,534
330,82,24.3123,50.0,10.5101,0.379713,535
331,82,19.8803,50.0,12.0237,0.377838,536
332,83,30.7892,50.0,8.3445,0.375962,537
333,83,24.0928,50.0,8.1409,0.374088,538
334,83,22.7864,50.0,9.8315,0.372213,539
335,83,33.0834,50.0,6.8119,0.370337,540
336,84,29.0789,50.0,7.9543,0.368462,546
337,84,19.8372,50.0,12.7309,0.366587,547
338,84,21.5669,50.0,13.1414,0.364712,548
339,84,31.4525,50.0,8.8763,0.362837,549
340,85,25.7868,50.0,10.3345,0.360962,550
341,85,19.5577,50.0,14.6723,0.359088,551
342,85,19.6473,50.0,12.1654,0.357212,552
343,85,23.0115,50.0,11.3335,0.355337,553
344,86,32.5067,50.0,5.6652,0.353463,559
345,86,32.3729,50.0,9.4774,0.351588,560
346,86,25.736,50.0,8.7982,0.349712,561
347,86,34.2192,50.0,6.9684,0.347838,562
348,87,41.4323,50.0,2.9294,0.345963,563
349,87,24.5326,50.0,11.1924,0.344087,564
350,87,23.5542,50.0,9.5365,0.342212,565
351,87,26.4464,50.0,9.7575,0.340337,566
352,88,25.0624,50.0,13.1288,0.338462,572
353,88,33.4656,50.0,5.2365,0.336587,573
354,88,27.0546,50.0,8.8561,0.334712,574
355,88,23.535,50.0,8.3354,0.332838,575
356,89,26.0234,50.0,10.3491,0.330962,576
357,89,26.4589,50.0,8.5813,0.329087,577
358,89,23.9126,50.0,9.8223,0.327213,578
359,89,25.8008,50.0,8.2698,0.325337,579
360,90,22.6617,50.0,11.7399,0.323462,585
361,90,33.2278,50.0,6.8238,0.321588,586
362,90,27.5957,50.0,9.8311,0.319713,587
363,90,30.2683,50.0,11.0404,0.317837,588
364,91,23.1131,50.0,10.8219,0.315963,589
365,91,21.3455,50.0,11.505,0.314087,590
366,91,33.0515,50.0,6.5588,0.312212,591
367,91,33.0161,50.0,7.4221,0.310337,592
368,92,29.1024,50.0,9.1608,0.3085,598
369,92,28.5777,50.0,8.3617,0.306625,599
370,92,26.5045,50.0,10.9711,0.30475,600
371,92,24.1803,50.0,9.5937,0.302875,601
372,93,31.4118,50.0,8.6558,0.301,602
373,93,24.387,50.0,9.539,0.299125,603
374,93,27.9724,50.0,7.8409,0.29725,604
375,93,25.6556,50.0,10.6482,0.295375,605
376,94,28.6789,50.0,8.5322,0.2935,611
377,94,32.4012,50.0,5.6287,0.291625,612
378,94,29.3825,50.0,7.0894,0.28975,613
379,94,27.7262,50.0,8.835,0.287875,614
380,95,23.8377,50.0,11.3929,0.286,615
381,95,32.466,50.0,7.193,0.284125,616
382,95,31.7853,50.0,9.8738,0.28225,617
383,95,22.8293,50.0,12.3043,0.280375,618
384,96,29.2279,50.0,9.093,0.2785,624
385,96,24.932,50.0,7.9631,0.276625,625
386,96,24.4242,50.0,10.8794,0.27475,626
387,96,25.6758,50.0,10.1411,0.272875,627
388,97,26.6975,50.0,9.9395,0.271,628
389,97,25.4884,50.0,10.6096,0.269125,629
390,97,24.1151,50.0,12.8917,0.26725,630
391,97,23.08,50.0,10.874,0.265375,631
392,98,27.683,50.0,8.5658,0.2635,637
393,98,19.5158,50.0,11.0706,0.261625,638
394,98,18.8492,50.0,12.7305,0.25975,639
395,98,13.8346,50.0,16.5048,0.257875,640
396,99,25.8013,50.0,10.2636,0.256,641
397,99,34.5961,50.0,4.7873,0.254125,642
398,99,22.4795,50.0,10.1533,0.25225,643
399,99,27.3384,50.0,8.6534,0.250375,644
400,100,25.2494,50.0,9.9307,0.2485,650
401,100,21.0472,50.0,11.011,0.246625,651
402,100,28.0851,50.0,9.3506,0.24475,652
403,100,28.9349,50.0,9.481,0.242875,653
404,101,19.3702,50.0,13.0826,0.241,654
405,101,32.0477,50.0,7.0065,0.239125,655
406,101,35.3958,50.0,8.357,0.23725,656
407,101,24.889,50.0,9.9661,0.235375,657
408,102,29.3287,50.0,9.7203,0.2335,663
409,102,26.6801,50.0,9.242,0.231625,664
410,102,28.8022,50.0,8.4219,0.22975,665
411,102,26.0353,50.0,9.668,0.227875,666
412,103,30.2085,50.0,9.9652,0.226,667
413,103,32.3952,50.0,7.3094,0.224125,668
414,103,26.9746,50.0,10.2245,0.22225,669
415,103,33.88,50.0,5.5142,0.220375,670
416,104,29.9129,50.0,6.6259,0.2185,676
417,104,26.5423,50.0,10.41,0.216625,677
418,104,26.8525,50.0,10.2459,0.21475,678
419,104,26.8443,50.0,8.1998,0.212875,679
420,105,25.2597,50.0,11.0195,0.211,680
421,105,29.0212,50.0,7.9032,0.209125,681
422,105,31.0679,50.0,8.683,0.20725,682
423,105,31.3393,50.0,5.9942,0.205375,683
424,106,31.4544,50.0,9.6648,0.2035,689
425,106,20.9253,50.0,11.1838,0.201625,690
426,106,37.3375,50.0,6.3315,0.19975,691
427,106,26.7055,50.0,14.7628,0.197875,692
428,107,23.7679,50.0,10.8028,0.196,693
429,107,32.6079,50.0,6.4034,0.194125,694
430,107,29.1678,50.0,8.7366,0.19225,695
431,107,27.25,50.0,8.4373,0.190375,696
432,108,28.7823,50.0,12.0672,0.1885,702
433,108,26.2845,50.0,7.1865,0.186625,703
434,108,23.1088,50.0,11.8617,0.18475,704
435,108,30.9855,50.0,7.2246,0.182875,705
436,109,31.6514,50.0,7.48,0.181,706
437,109,35.4763,50.0,4.9249,0.179125,707
438,109,26.1944,50.0,11.9008,0.17725,708
439,109,30.4995,50.0,6.0467,0.175375,709
440,110,32.281,50.0,6.8368,0.1735,715
441,110,24.6551,50.0,10.3177,0.171625,716
442,110,30.6044,50.0,9.7367,0.16975,717
443,110,31.8836,50.0,5.4142,0.167875,718
444,111,34.0806,50.0,6.6513,0.166,719
445,111,26.9624,50.0,8.0392,0.164125,720
446,111,33.8313,50.0,4.9542,0.16225,721
447,111,31.7458,50.0,5.39,0.160375,722
448,112,32.845,50.0,4.729,0.1585,728
449,112,29.1707,50.0,6.1912,0.156625,729
450,112,31.9002,50.0,7.2619,0.15475,730
451,112,30.0446,50.0,8.4784,0.152875,731
452,113,21.9613,50.0,12.0759,0.151,732
453,113,31.319,50.0,6.1342,0.149125,733
454,113,30.0892,50.0,8.2862,0.14725,734
455,113,30.9012,50.0,7.5279,0.145375,735
456,114,34.1442,50.0,4.6508,0.1435,741
457,114,30.9419,50.0,8.5004,0.141625,742
458,114,29.0535,50.0,10.5398,0.13975,743
459,114,28.0845,50.0,7.1902,0.137875,744
460,115,29.901,50.0,6.7896,0.136,745
461,115,24.6844,50.0,10.3858,0.134125,746
462,115,28.8655,50.0,9.0814,0.13225,747
463,115,27.8453,50.0,9.6479,0.130375,748
464,116,28.6257,50.0,7.6506,0.1285,754
465,116,32.0303,50.0,6.7373,0.126625,755
466,116,33.7718,50.0,4.8207,0.12475,756
467,116,33.1507,50.0,5.8145,0.122875,757
468,117,33.0852,50.0,5.3941,0.121,758
469,117,35.1971,50.0,5.7842,0.119163,759
470,117,30.9494,50.0,6.0835,0.117287,760
471,117,33.2621,50.0,5.0409,0.11545,761
472,118,34.0823,50.0,4.0411,0.113575,767
473,118,32.8023,50.0,5.2227,0.1117,768
474,118,29.7277,50.0,8.9106,0.109825,769
475,118,24.9147,50.0,9.1017,0.10795,770
476,119,27.7078,50.0,9.489,0.106075,771
477,119,34.9277,50.0,6.6533,0.1042,772
478,119,30.762,50.0,7.7034,0.102325,773
479,119,32.4999,50.0,7.3431,0.10045,774
480,120,27.91,50.0,9.7648,0.1,780
481,120,33.9108,50.0,6.3209,0.1,781
482,120,33.0779,50.0,5.7894,0.1,782
483,120,36.1398,50.0,5.8998,0.1,783
484,121,30.5684,50.0,7.4178,0.1,784
485,121,30.5328,50.0,7.4345,0.1,785
486,121,35.982,50.0,5.9354,0.1,786
487,121,32.031,50.0,6.2342,0.1,787
488,122,30.7798,50.0,6.314,0.1,793
489,122,35.3679,50.0,4.8497,0.1,794
490,122,29.453,50.0,7.3034,0.1,795
491,122,33.3577,50.0,6.2073,0.1,796
492,123,33.8763,50.0,6.5929,0.1,797
493,123,33.8774,50.0,4.9517,0.1,798
494,123,32.8181,50.0,5.9683,0.1,799
495,123,24.6313,50.0,10.9636,0.1,800
496,124,30.5428,50.0,6.5965,0.1,806
497,124,20.5811,50.0,11.5078,0.1,807
498,124,33.8663,50.0,6.4096,0.1,808
499,124,32.4378,50.0,6.1062,0.1,809
500,125,30.9622,50.0,5.3554,0.1,810
501,125,30.535,50.0,7.7316,0.1,811
502,125,30.8732,50.0,8.8249,0.1,812
503,125,35.3651,50.0,5.3029,0.1,813
504,126,21.8175,50.0,9.0952,0.1,819
505,126,29.6264,50.0,9.0792,0.1,820
506,126,29.3104,50.0,9.91,0.1,821
507,126,32.0358,50.0,6.3102,0.1,822
508,127,28.5455,50.0,9.5866,0.1,823
509,127,24.6706,50.0,7.5452,0.1,824
510,127,25.864,50.0,11.2589,0.1,825
511,127,30.4874,50.0,7.3778,0.1,826
512,128,28.8182,50.0,6.8685,0.1,832
513,128,32.5995,50.0,5.0079,0.1,833
514,128,25.2944,50.0,9.149,0.1,834
515,128,32.064,50.0,7.0817,0.1,835
516,129,30.6017,50.0,7.361,0.1,836
517,129,29.6786,50.0,7.3722,0.1,837
518,129,20.672,50.0,9.7786,0.1,838
519,129,33.1541,50.0,6.4661,0.1,839
520,130,32.6305,50.0,6.4884,0.1,845
521,130,29.5384,50.0,7.8774,0.1,846
522,130,33.5991,50.0,4.2044,0.1,847
523,130,32.7848,50.0,6.8178,0.1,848
524,131,31.226,50.0,5.174,0.1,849
525,131,22.8174,50.0,9.3408,0.1,850
526,131,30.4094,50.0,7.3928,0.1,851
527,131,31.508,50.0,6.3282,0.1,852
528,132,24.0777,50.0,9.1757,0.1,858
529,132,33.3378,50.0,7.5379,0.1,859
530,132,32.5393,50.0,6.4438,0.1,860
531,132,31.3274,50.0,7.7692,0.1,861
532,133,25.1704,50.0,9.089,0.1,862
533,133,31.1227,50.0,7.0403,0.1,863
534,133,30.682,50.0,5.3456,0.1,864
535,133,17.887,50.0,12.3298,0.1,865
536,134,26.5909,50.0,11.0735,0.1,871
537,134,28.244,50.0,7.9722,0.1,872
538,134,32.4353,50.0,8.0142,0.1,873
539,134,27.8183,50.0,8.843,0.1,874
540,135,26.9218,50.0,7.9953,0.1,875
541,135,20.1375,50.0,9.8223,0.1,876
542,135,32.9359,50.0,6.6116,0.1,877
543,135,28.1306,50.0,10.8384,0.1,878
544,136,26.234,50.0,9.1641,0.1,884
545,136,34.2211,50.0,4.1602,0.1,885
546,136,34.3686,50.0,5.7355,0.1,886
547,136,28.7541,50.0,7.7083,0.1,887
548,137,34.0356,50.0,4.1602,0.1,888
549,137,28.3884,50.0,7.0477,0.1,889
550,137,25.2869,50.0,15.2841,0.1,890
551,137,23.3725,50.0,12.2293,0.1,891
552,138,26.7651,50.0,9.4431,0.1,897
553,138,34.0856,50.0,4.6625,0.1,898
554,138,30.9084,50.0,7.4394,0.1,899
555,138,31.9081,50.0,4.8215,0.1,900
556,139,29.642,50.0,7.5903,0.1,901
557,139,23.4486,50.0,8.8646,0.1,902
558,139,30.3988,50.0,7.3521,0.1,903
559,139,27.0719,50.0,10.1906,0.1,904
560,140,21.1992,50.0,10.7615,0.1,910
561,140,29.1076,50.0,11.5045,0.1,911
562,140,34.1191,50.0,4.1602,0.1,912
563,140,26.7878,50.0,9.4384,0.1,913
