episode,epoch,episode_reward,episode_duration,wait_time,epsilon
678,104,4.0573,50.00,9.8846,0.378403
679,104,3.9316,50.00,5.9700,0.376919
680,105,3.6420,50.00,6.1425,0.375434
681,105,5.0900,50.00,5.5692,0.373950
682,105,3.6123,50.00,9.5570,0.372466
683,105,4.2207,50.00,7.4752,0.370981
689,106,3.3567,50.00,6.6036,0.369497
690,106,3.9962,50.00,6.4259,0.368013
691,106,3.7954,50.00,9.8999,0.366528
692,106,6.6324,50.00,5.0456,0.365044
693,107,2.3853,50.00,9.9261,0.363559
694,107,3.8011,50.00,6.2650,0.362075
695,107,3.0447,50.00,5.4422,0.360591
696,107,1.2688,50.00,8.5405,0.359106
702,108,2.9396,50.00,7.1962,0.357622
703,108,4.2777,50.00,7.7740,0.356138
704,108,4.0598,50.00,6.1369,0.354653
705,108,3.5041,50.00,5.0342,0.353169
706,109,2.1084,50.00,8.3988,0.351684
707,109,5.5572,50.00,4.1000,0.350200
708,109,3.1180,50.00,10.4807,0.348716
709,109,4.7984,50.00,8.1517,0.347231
715,110,3.9804,50.00,8.7394,0.345747
716,110,4.8695,50.00,8.8936,0.344263
717,110,3.3960,50.00,12.9736,0.342778
718,110,4.7190,50.00,10.1890,0.341294
719,111,5.7452,50.00,7.2327,0.339809
720,111,4.9460,50.00,8.4265,0.338325
721,111,3.5310,50.00,8.6804,0.336841
722,111,4.4983,50.00,8.0764,0.335356
728,112,1.6339,50.00,7.4915,0.333872
729,112,4.3667,50.00,6.5167,0.332388
730,112,4.4438,50.00,8.0682,0.330903
731,112,3.3378,50.00,11.2242,0.329419
732,113,2.9529,50.00,10.9077,0.327934
733,113,3.9170,50.00,7.9503,0.326450
734,113,2.5804,50.00,9.2513,0.324966
735,113,3.4974,50.00,9.0861,0.323481
741,114,5.1152,50.00,6.9884,0.321997
742,114,4.9908,50.00,5.7715,0.320512
743,114,3.9820,50.00,7.6900,0.319028
744,114,3.3470,50.00,6.5027,0.317544
745,115,3.5998,50.00,8.2513,0.316059
746,115,3.3553,50.00,9.4718,0.314575
747,115,2.8564,50.00,9.9297,0.313091
748,115,4.2075,50.00,7.1848,0.311606
754,116,3.3883,50.00,6.6675,0.310122
755,116,4.5451,50.00,7.8591,0.308638
756,116,3.5159,50.00,7.0970,0.307153
757,116,2.7867,50.00,8.1606,0.305669
758,117,4.0443,50.00,9.5577,0.304184
759,117,2.6114,50.00,7.2295,0.302700
760,117,3.8719,50.00,9.3796,0.301216
761,117,4.9114,50.00,7.3942,0.299731
767,118,6.1994,50.00,7.6086,0.298247
768,118,3.0032,50.00,9.8630,0.296763
769,118,2.0345,50.00,10.3694,0.295278
770,118,3.2027,50.00,8.9923,0.293794
771,119,3.9204,50.00,7.4663,0.292309
772,119,4.2674,50.00,9.3982,0.290825
773,119,2.5669,50.00,10.7669,0.289341
774,119,5.4062,50.00,7.5631,0.287856
780,120,2.7843,50.00,10.8531,0.286372
781,120,4.4524,50.00,8.7009,0.284887
782,120,2.8461,50.00,8.8086,0.283403
783,120,5.3969,50.00,7.4547,0.281919
784,121,3.7136,50.00,8.1000,0.280434
785,121,3.4497,50.00,10.7784,0.278950
786,121,4.9825,50.00,5.5269,0.277466
787,121,4.4394,50.00,8.9756,0.275981
793,122,2.1847,50.00,13.3904,0.274497
794,122,3.1269,50.00,7.8904,0.273013
795,122,2.7346,50.00,7.4903,0.271528
796,122,3.0542,50.00,10.7844,0.270044
797,123,6.0847,50.00,5.7313,0.268559
798,123,3.9465,50.00,3.8929,0.267075
799,123,2.6794,50.00,7.1863,0.265591
800,123,3.5449,50.00,6.6923,0.264106
806,124,5.7529,50.00,9.9140,0.262622
807,124,1.0445,50.00,11.8030,0.261138
808,124,4.4606,50.00,8.6405,0.259653
809,124,4.0007,50.00,9.8486,0.258169
810,125,3.4092,50.00,9.6564,0.256684
811,125,2.8004,50.00,6.9786,0.255200
812,125,3.8395,50.00,11.0136,0.253716
813,125,4.1145,50.00,5.9106,0.252231
819,126,2.6536,50.00,9.1107,0.250747
820,126,1.8546,50.00,8.5231,0.249292
821,126,5.3118,50.00,8.8699,0.247808
822,126,2.0463,50.00,9.5876,0.246323
823,127,3.7400,50.00,4.5780,0.244839
824,127,4.5913,50.00,7.2871,0.243355
825,127,3.3871,50.00,8.1765,0.241870
826,127,2.6663,50.00,8.4800,0.240386
832,128,3.3842,50.00,5.4196,0.238902
833,128,4.3836,50.00,3.9419,0.237417
834,128,3.7459,50.00,6.4208,0.235933
835,128,3.8786,50.00,9.6200,0.234448
836,129,2.6317,50.00,9.3706,0.232964
837,129,2.9563,50.00,6.0394,0.231480
838,129,1.1684,50.00,11.6970,0.229995
839,129,4.4520,50.00,10.8571,0.228511
845,130,1.9710,50.00,13.2084,0.227027
846,130,3.0507,50.00,9.1448,0.225542
847,130,3.7240,50.00,6.2589,0.224058
848,130,2.7831,50.00,12.1340,0.222573
849,131,3.5702,50.00,8.1348,0.221089
850,131,3.8873,50.00,9.7312,0.219605
851,131,4.3870,50.00,7.1873,0.218120
852,131,4.8070,50.00,9.3463,0.216636
858,132,5.0756,50.00,6.7842,0.215152
859,132,3.9585,50.00,5.9761,0.213667
860,132,3.0756,50.00,10.4263,0.212183
861,132,3.7224,50.00,8.9323,0.210698
862,133,4.2811,50.00,7.0942,0.209214
863,133,5.8197,50.00,6.2519,0.207730
864,133,3.5711,50.00,7.5049,0.206245
865,133,4.1709,50.00,8.2180,0.204761
871,134,5.0305,50.00,6.5283,0.203277
872,134,4.2176,50.00,9.2738,0.201792
873,134,3.5356,50.00,8.3441,0.200308
874,134,3.5913,50.00,5.8033,0.198823
875,135,4.7029,50.00,7.1530,0.197339
876,135,1.4081,50.00,9.3096,0.195855
877,135,4.1002,50.00,8.4825,0.194370
878,135,5.6736,50.00,6.9169,0.192886
884,136,3.6343,50.00,9.8512,0.191402
885,136,5.2024,50.00,6.8355,0.189917
886,136,4.2634,50.00,6.6821,0.188433
887,136,1.7147,50.00,10.0292,0.186948
888,137,1.5963,50.00,11.0219,0.185464
889,137,1.6766,50.00,11.1121,0.183980
890,137,3.3470,50.00,4.9450,0.182495
891,137,1.7119,50.00,13.2353,0.181011
897,138,5.0278,50.00,9.1859,0.179527
898,138,3.4981,50.00,8.3404,0.178042
899,138,2.7032,50.00,7.7306,0.176558
900,138,1.7415,50.00,11.7367,0.175073
901,139,4.9515,50.00,6.1923,0.173589
902,139,3.8537,50.00,8.8452,0.172105
903,139,4.0557,50.00,4.7138,0.170620
904,139,5.5454,50.00,7.1352,0.169136
910,140,2.0859,50.00,8.9358,0.167652
911,140,3.4703,50.00,7.0362,0.166167
912,140,3.3509,50.00,5.3307,0.164683
913,140,4.6809,50.00,9.4653,0.163198
914,141,-0.0096,50.00,14.3592,0.161714
915,141,4.1220,50.00,5.7952,0.160230
916,141,4.1509,50.00,7.8073,0.158745
917,141,3.0691,50.00,5.6332,0.157261
923,142,4.8715,50.00,7.9404,0.155777
924,142,4.5176,50.00,3.8323,0.154292
925,142,4.3635,50.00,7.1277,0.152808
926,142,3.9621,50.00,7.6019,0.151323
927,143,3.8379,50.00,6.5017,0.149869
928,143,3.2452,50.00,9.9890,0.148384
929,143,1.9590,50.00,9.1455,0.146900
930,143,4.3382,50.00,8.1106,0.145416
936,144,6.1673,50.00,4.0413,0.143931
937,144,2.2756,50.00,8.2355,0.142447
938,144,3.1342,50.00,7.3236,0.140962
939,144,6.6148,50.00,8.6692,0.139478
940,145,3.2763,50.00,9.7094,0.137994
941,145,3.6395,50.00,10.8285,0.136509
942,145,4.0932,50.00,4.7348,0.135025
943,145,3.3759,50.00,4.7908,0.133541
949,146,1.1840,50.00,10.7982,0.132056
950,146,3.1691,50.00,9.7558,0.130572
951,146,3.9803,50.00,10.1212,0.129117
952,146,4.7522,50.00,6.5423,0.127633
953,147,4.0932,50.00,4.7390,0.126148
954,147,5.3470,50.00,6.9478,0.124664
955,147,4.0932,50.00,6.3818,0.123180
956,147,5.5836,50.00,6.9886,0.121695
962,148,3.2727,50.00,6.5375,0.120211
963,148,2.0464,50.00,9.2991,0.118727
964,148,3.9372,50.00,11.5368,0.117242
965,148,4.3949,50.00,5.2204,0.115788
966,149,3.6611,50.00,5.6090,0.114303
967,149,5.1009,50.00,7.1165,0.112819
968,149,3.9884,50.00,4.3017,0.111334
969,149,3.3470,50.00,6.6694,0.109850
975,150,3.6694,50.00,6.0838,0.108366
976,150,3.6646,50.00,9.7149,0.106881
977,150,2.3859,50.00,7.7621,0.105397
978,150,3.7238,50.00,9.4619,0.103912
