episode,reward,time
3,66.19874835309618,253
4,63.98870967741935,279
0,69.04874835309619,253
1,57.390221402214024,271
2,60.74630350194553,257
3,61.871393034825864,268
4,62.03972431077695,266
0,62.72222222222222,270
1,49.34186046511628,344
2,65.09016393442623,244
3,67.54638554216868,249
4,64.0563909774436,266
0,61.11541501976285,253
1,62.5602564102564,260
2,60.213688212927764,263
3,60.50882352941177,272
4,60.83805970149254,268
0,56.37676056338028,284
1,62.55882352941177,272
2,57.558280254777074,314
3,68.71645569620253,237
4,57.466889632107026,299
0,63.57692307692308,260
1,61.977815699658706,293
2,64.46688963210703,299
3,61.8875,256
4,66.83870967741936,279
0,58.464071856287426,334
1,61.43850574712644,261
2,56.01124567474048,289
3,61.35076335877863,262
4,59.32183908045977,261
0,66.97312925170068,245
1,62.739147286821705,258
2,58.997945205479446,292
3,62.55882352941177,272
4,64.59638554216868,249
0,60.837500000000006,256
1,59.640243902439025,246
2,60.189130434782605,276
3,61.222463768115944,276
4,66.39626556016597,241
0,59.550222965440355,299
1,57.13850574712643,261
2,62.31818181818181,275
3,59.87191011235956,267
4,61.97941176470589,255
0,62.5602564102564,260
1,62.25952380952381,252
2,70.73979591836734,245
3,59.139130434782615,276
4,60.42802197802198,273
0,60.04150943396226,265
1,57.72191011235955,267
2,60.25,240
3,57.09457900807382,289
4,58.6520202020202,297
0,61.30151515151515,275
1,61.400000000000006,250
2,58.06368821292776,263
3,58.55555555555556,270
4,55.810649819494586,277
0,56.26792452830189,318
1,64.57676056338028,284
2,60.11064981949458,277
3,57.09457900807382,289
4,56.881278538812786,292
0,60.17298850574712,290
1,57.30882352941177,272
2,66.03191489361703,235
3,65.21541501976284,253
4,56.07017543859649,304
0,52.07017543859649,304
1,51.44161358811041,314
2,61.222463768115944,276
3,66.7008733624454,229
4,56.81747572815534,309
0,64.05639097744361,266
1,58.23114355231144,274
2,56.75537634408602,279
3,60.34626556016599,241
4,54.26818181818183,275
0,63.97312925170067,245
1,57.55483271375465,269
2,64.30952380952381,252
3,60.77659574468085,282
4,62.38409669211196,262
0,68.82372881355933,236
1,66.19874835309618,253
2,60.672222222222224,270
3,65.21060606060607,264
4,61.091509433962266,265
0,64.35592334494774,287
1,56.333333333333336,300
2,65.7914979757085,247
3,59.297810218978114,274
4,58.965415019762844,253
0,58.55555555555556,270
1,56.943973941368085,307
2,65.0896551724138,290
3,59.29781021897811,274
4,60.30076335877863,262
0,58.04150943396227,265
1,64.36206896551724,232
2,54.74149659863946,294
3,63.72222222222222,270
4,62.23913043478261,276
0,64.09016393442623,244
1,63.14150943396226,265
2,60.68474676089517,283
3,57.95524344569288,267
4,55.38422818791946,298
0,57.742604501607715,311
1,59.416888150609076,301
2,60.04874835309617,253
3,60.031278538812785,292
4,62.29702154626109,263
0,59.462354312354314,286
1,54.911245674740485,289
2,59.955380577427825,254
3,60.65581395348838,258
4,52.01235431235431,286
0,42.81747572815534,309
1,42.81747572815534,309
2,42.81747572815534,309
3,42.81747572815534,309
4,42.81747572815534,309
5,42.81747572815534,309
6,42.81747572815534,309
7,42.81747572815534,309
8,42.81747572815534,309
9,42.81747572815534,309
10,42.81747572815534,309
11,42.81747572815534,309
12,42.81747572815534,309
13,42.81747572815534,309
14,42.81747572815534,309
15,42.81747572815534,309
16,42.81747572815534,309
17,42.81747572815534,309
18,42.81747572815534,309
19,42.81747572815534,309
0,59.35592334494774,287
1,50.59104046242774,346
2,57.53422818791947,298
3,63.971910112359545,267
4,57.685646500593116,281
0,57.30151515151516,275
1,57.00537634408602,279
2,59.10538057742783,254
3,55.610221550856,331
4,61.03972431077693,266
0,50.72222222222223,270
1,65.64354838709679,248
2,57.95537634408602,279
3,42.56932907348242,313
4,57.87857142857143,280
0,65.1248427672956,265
1,64.4613553113553,273
2,62.890243902439025,246
3,61.97312925170067,245
4,60.8375,256
0,66.78805970149253,268
1,64.22727272727272,264
2,62.03972431077695,266
