# Reward Formula: R_total = R_global / reward_scale
# R_global = w1*CompletedNorm - w2*AvgWaitNorm - w3*WIPNorm + w4*ThroughputDelta + w5*LoadBalance
# Coefficients: w1=1.0, w2=0.0, w3=0.0, w4=0.0, w5=0.0
# reward_scale=2.0
# LoadBalance: lambda_m=0.8, lambda_o=0.2
# CompletedNorm: fraction of jobs completed [0,1]
# AvgWaitNorm: normalized average wait time [0,1]
# WIPNorm: work-in-progress ratio [0,1]
# ThroughputDelta: change in completed jobs (normalized) - immediate feedback!
# LoadBalance: entropy-based load distribution [0,1] - higher is better
#
step,sim_time,CompletedNorm,AvgWaitNorm,WIPNorm,ThroughputDelta,LoadBalance,R_global,R_total
245,49.00,0.576923,0.093152,0.384615,0.000000,0.991319,0.576923,0.288462
246,50.00,0.615385,0.094305,0.384615,0.038462,0.989739,0.615385,0.307692
247,51.00,0.615385,0.095573,0.384615,0.000000,0.989560,0.615385,0.307692
248,52.00,0.615385,0.098544,0.384615,0.000000,0.984175,0.615385,0.307692
249,53.00,0.653846,0.101044,0.346154,0.038462,0.985723,0.653846,0.326923
250,54.00,0.692308,0.101429,0.307692,0.038462,0.985723,0.692308,0.346154
251,55.00,0.730769,0.103044,0.269231,0.038462,0.985723,0.730769,0.365385
252,56.00,0.730769,0.103813,0.269231,0.000000,0.982977,0.730769,0.365385
253,57.00,0.730769,0.104248,0.269231,0.000000,0.981731,0.730769,0.365385
254,58.00,0.703704,0.100757,0.296296,0.000000,0.981731,0.703704,0.351852
255,59.00,0.655172,0.094028,0.344828,0.000000,0.977404,0.655172,0.327586
256,60.00,0.655172,0.095087,0.344828,0.000000,0.976835,0.655172,0.327586
257,61.00,0.655172,0.095958,0.344828,0.000000,0.975473,0.655172,0.327586
258,62.00,0.666667,0.093876,0.333333,0.033333,0.974510,0.666667,0.333333
259,63.00,0.666667,0.095334,0.333333,0.000000,0.951972,0.666667,0.333333
260,64.00,0.677419,0.108146,0.322581,0.032258,0.944198,0.677419,0.338710
261,65.00,0.656250,0.106554,0.312500,0.000000,0.957507,0.656250,0.328125
262,66.00,0.666667,0.104606,0.303030,0.030303,0.945893,0.666667,0.333333
