DP_Index,Episode,Timestamp,Agent_Count,Type
798,207,49.82,3,conflict
799,208,0.00,4,simultaneous
800,208,27.98,3,conflict
801,208,30.62,2,conflict
802,208,33.82,2,conflict
803,209,0.00,4,simultaneous
804,209,8.75,2,simultaneous
805,209,20.82,3,conflict
806,210,0.00,4,simultaneous
807,211,0.00,4,simultaneous
808,211,24.23,3,conflict
809,211,48.27,2,conflict
810,212,0.00,4,simultaneous
811,212,14.10,3,conflict
812,212,16.68,2,conflict
813,212,26.10,2,conflict
814,212,31.80,3,conflict
815,212,39.58,3,conflict
816,213,0.00,4,simultaneous
817,213,5.68,3,conflict
818,213,9.93,2,conflict
819,213,15.05,2,conflict
820,213,24.07,3,conflict
821,213,24.68,3,conflict
822,213,34.10,3,conflict
823,213,48.10,3,conflict
824,214,0.00,4,simultaneous
825,214,48.10,3,conflict
826,215,0.00,4,simultaneous
827,215,9.22,3,conflict
828,215,19.05,2,conflict
829,215,28.57,2,conflict
830,216,0.00,4,simultaneous
831,216,30.82,3,conflict
832,216,43.98,2,conflict
833,216,46.10,2,simultaneous
834,217,0.00,4,simultaneous
835,217,29.93,3,conflict
836,218,0.00,4,simultaneous
837,218,10.10,3,conflict
838,218,10.75,2,conflict
839,218,39.58,2,conflict
840,218,42.82,3,conflict
841,219,0.00,4,simultaneous
842,220,0.00,4,simultaneous
843,220,8.05,3,conflict
844,220,17.93,2,conflict
845,220,25.60,2,conflict
846,220,27.05,3,conflict
847,220,36.05,2,simultaneous
848,221,0.00,4,simultaneous
849,221,9.26,3,conflict
850,221,26.57,2,conflict
851,221,28.93,2,conflict
852,222,0.00,4,simultaneous
853,222,17.68,3,conflict
854,222,21.15,2,conflict
855,222,27.98,2,conflict
856,222,36.58,3,conflict
857,222,45.10,3,conflict
858,223,0.00,4,simultaneous
859,223,4.82,3,conflict
860,223,6.82,2,conflict
861,223,10.75,2,conflict
862,223,36.98,3,conflict
863,224,0.00,4,simultaneous
864,224,21.75,3,conflict
865,225,0.00,4,simultaneous
866,225,10.80,3,conflict
867,225,37.80,2,conflict
868,226,0.00,4,simultaneous
869,226,14.93,3,conflict
870,226,21.82,2,conflict
871,226,29.10,2,simultaneous
872,226,29.10,3,conflict
873,226,38.75,3,conflict
874,227,0.00,4,simultaneous
875,227,6.58,3,conflict
876,227,20.73,2,conflict
877,227,26.10,2,conflict
878,227,35.58,3,conflict
879,227,35.92,3,conflict
880,227,37.75,3,conflict
881,227,41.58,3,conflict
882,227,47.75,3,conflict
883,228,0.00,4,simultaneous
884,228,6.05,3,conflict
885,228,22.15,2,conflict
886,228,25.98,2,conflict
887,229,0.00,4,simultaneous
888,229,16.05,3,conflict
889,229,18.05,2,conflict
890,230,0.00,4,simultaneous
891,230,20.73,3,conflict
892,230,25.98,2,conflict
893,230,28.82,2,conflict
894,231,0.00,4,simultaneous
895,231,20.27,3,conflict
896,231,27.82,2,conflict
897,231,39.05,2,conflict
898,232,0.00,4,simultaneous
899,232,9.40,3,conflict
900,232,10.05,2,conflict
901,232,22.57,2,conflict
902,232,28.10,3,conflict
903,232,32.98,3,conflict
904,233,0.00,4,simultaneous
905,233,6.08,3,conflict
906,233,11.82,2,conflict
907,233,14.57,2,conflict
908,233,22.88,3,conflict
909,233,26.93,3,conflict
910,233,32.05,3,conflict
911,233,37.80,3,conflict
912,233,42.05,3,conflict
913,233,48.10,3,conflict
914,234,0.00,4,simultaneous
915,234,13.97,3,conflict
916,235,0.00,4,simultaneous
917,235,17.75,3,conflict
918,235,30.57,2,conflict
919,235,39.58,2,conflict
920,235,41.98,3,conflict
921,235,43.05,3,conflict
922,235,47.58,3,conflict
923,236,0.00,4,simultaneous
924,236,26.27,3,conflict
925,236,29.27,2,conflict
926,236,32.23,2,conflict
927,236,32.58,3,conflict
928,236,38.82,2,simultaneous
929,237,0.00,4,simultaneous
930,237,35.92,3,conflict
931,237,43.58,2,conflict
932,237,48.82,2,conflict
933,238,0.00,4,simultaneous
934,238,4.58,3,conflict
935,238,12.57,2,conflict
936,239,0.00,4,simultaneous
937,239,29.75,3,conflict
938,239,30.10,2,conflict
939,239,34.15,2,conflict
940,239,34.75,3,conflict
941,239,36.05,3,conflict
942,239,37.27,3,conflict
943,239,46.82,3,conflict
944,240,0.00,4,simultaneous
945,240,26.75,2,simultaneous
946,240,28.93,3,conflict
947,240,32.82,3,conflict
948,241,0.00,4,simultaneous
949,241,35.58,3,conflict
950,242,0.00,4,simultaneous
